CDS,ID,PhageDPO_score
19,Phi19:2_gp019_hypothetical protein,66.0
21,Phi19:2_gp021_structural protein,99.0
22,Phi19:2_gp022_structural protein,76.0
23,Phi19:2_gp023_structural protein,73.0
24,Phi19:2_gp024_structural protein,97.0
30,Phi19:2_gp030_SGNH hydrolase,99.0
38,Phi19:2_gp038_GTP cyclohydrolase I,52.0
44,Phi19:2_gp044_DNA polymerase III alpha subunit,78.0
45,Phi19:2_gp045_DNA polymerase III alpha subunit,69.0
69,Phi19:2_gp069_A1-like protein,55.0
78,Phi19:2_gp078_hypothetical protein,90.0
