CDS,ID,PhageDPO_score
34,Vi01_034_baseplate tail tube cap,76.0
36,Vi01_036_tail protein,64.0
105,Vi01_105_conserved phage associated protein,89.0
123,Vi01_123c_putative uncharacterised protein,51.0
131,Vi01_131c_MazG-like pyrophosphatase,51.0
134,Vi01_134c_clamp loader of DNA polymerase,75.0
152,Vi01_152c_Gp23-Major capsid protein,55.0
160,Vi01_160c_Gp18 tail sheath protein,82.0
169,Vi01_169c_conserved phage associated protein,95.0
170,Vi01_170c_tail spike protein,93.0
171,Vi01_171c_tail fiber protein,76.0
172,Vi01_172c_tail protein,98.0
173,Vi01_173c_tail protein,100.0
174,Vi01_174c_putative uncharacterised protein,94.0
176,Vi01_176c_Gp6 baseplate wedge subunit,78.0
181,Vi01_181_putative uncharacterised protein,51.0
201,Vi01_203_conserved uncharacterised protein,83.0
