CDS,ID,PhageDPO_score
1,PRTG_00001_hypothetical protein,64.0
2,PRTG_00002_baseplate wedge subunit,96.0
76,PRTG_00076_helicase,56.0
77,PRTG_00077_hypothetical protein,60.0
80,PRTG_00080_hypothetical protein,100.0
81,PRTG_00081_hypothetical protein,99.0
82,PRTG_00082_hypothetical protein,100.0
89,PRTG_00089_hypothetical protein,100.0
95,PRTG_00096_hypothetical protein,91.0
102,PRTG_00105_hypothetical protein,80.0
112,PRTG_00116_hypothetical protein,64.0
126,PRTG_00131_hypothetical protein,97.0
131,PRTG_00136_ADP-heptose synthase,76.0
134,PRTG_00139_hypothetical protein,75.0
135,PRTG_00140_hypothetical protein,76.0
137,PRTG_00142_hypothetical protein,69.0
140,PRTG_00145_hypothetical protein,99.0
142,PRTG_00147_hypothetical protein,80.0
143,PRTG_00148_hypothetical protein,99.0
144,PRTG_00149_hypothetical protein,99.0
145,PRTG_00150_hypothetical protein,90.0
147,PRTG_00152_hypothetical protein,99.0
149,PRTG_00154_hypothetical protein,97.0
156,PRTG_00161_hypothetical protein,97.0
166,PRTG_00171_ADP-L-glycero-D-mannoheptose-6-epimerase,74.0
172,PRTG_00177_hypothetical protein,66.0
173,PRTG_00178_glycosyltransferase family 1 protein,69.0
183,PRTG_00188_hypothetical protein,71.0
192,PRTG_00197_fructose-6-phosphate aldolase,76.0
203,PRTG_00208_hypothetical protein,55.0
219,PRTG_00224_tryptophan halogenase,81.0
228,PRTG_00233_ribonucleotide-diphosphate reductase subunit alpha,76.0
243,PRTG_00248_hypothetical protein,71.0
247,PRTG_00252_PurH,78.0
259,PRTG_00266_phosphoribosylformylglycinamidine cyclo-ligase,81.0
274,PRTG_00282_replication factor C small subunit,59.0
276,PRTG_00284_hypothetical protein,56.0
295,PRTG_00306_major capsid protein,69.0
301,PRTG_00312_tail sheath protein,91.0
305,PRTG_00316_hypothetical protein,60.0
309,PRTG_00320_neck protein,85.0
312,PRTG_00323_hypothetical protein,99.0
317,PRTG_00328_hypothetical protein,98.0
318,PRTG_00329_hypothetical protein,97.0
319,PRTG_00330_hypothetical protein,99.0
